OBJECTID,ID,ENFORCEMENT,ADDRESS,MARID
108,48,SPEED SAFETY CAMERA,2600 blk Lincoln Road NE n/b,801075
109,51,SPEED SAFETY CAMERA,3900 blk South Dakota Ave NE se/b,806707
110,54,SPEED SAFETY CAMERA,3900 blk South Dakota Ave NE nw/b,806707
111,1,RED LIGHT SAFETY CAMERA,14th St s/b @ U St NW ,903573
112,9,SPEED SAFETY CAMERA,5500 blk E Capitol St SE e/b,808208
113,14,SPEED SAFETY CAMERA,3rd St Tunnel NW s/b by 3rd St,
114,15,SPEED SAFETY CAMERA,3rd St Tunnel NW n/b by MA Ave,
115,27,SPEED SAFETY CAMERA,2500 blk Georgia Ave NW s/b,802495
116,29,SPEED SAFETY CAMERA,1600 blk New Jersey Ave NW s/b,803116
117,30,SPEED SAFETY CAMERA,200 blk Riggs Rd NE e/b,808105
118,35,SPEED SAFETY CAMERA,5200 blk 14th St NW s/b,807819
119,46,SPEED SAFETY CAMERA,1400 blk Bladensburg Rd NE s/b,800940
120,47,SPEED SAFETY CAMERA,Monroe St e/b @ 16th St NE,901099
121,55,SPEED SAFETY CAMERA,2500 blk N Capitol St NE n/b,801570
122,61,SPEED SAFETY CAMERA,DC 295 NE AT BENNING ROAD EXIT NB,
123,63,SPEED SAFETY CAMERA,3900 blk E Capitol St SE e/b,809930
124,62,SPEED SAFETY CAMERA,4000 blk East Capitol St NE w/b,805503
125,66,SPEED SAFETY CAMERA,3000 blk Pennsylvania Ave SE nw/b,812288
126,75,SPEED SAFETY CAMERA,DC295 SW 0.05 Mile S/O Exit 1 n/b,
127,76,SPEED SAFETY CAMERA,DC295 SE 0.4 miles s/o E/2 s/b (WZ),
1,1,STOP SIGN SAFETY CAMERA,11th St n/b @ Lamont St NW,907333
2,1,SPEED SAFETY CAMERA,2500 blk Porter St NW w/b ,813039
3,4,SPEED SAFETY CAMERA,16th St s/b @ Colorado Ave NW ,903866
4,23,SPEED SAFETY CAMERA,4300 blk Reservoir Rd NW e/b,812695
5,24,SPEED SAFETY CAMERA,2600 blk Wisconsin Ave NW n/b,801693
6,28,SPEED SAFETY CAMERA,4700 blk MacArthur Blvd NW s/b,807090
7,34,SPEED SAFETY CAMERA,100 blk Irving St NW w/b,807403
8,36,SPEED SAFETY CAMERA,3000 blk N Capitol St NW sw,811116
9,73,SPEED SAFETY CAMERA,DC 295 .4 mi s/o Penn Ave SE sw/b,
10,8,SPEED SAFETY CAMERA,4200 blk Eastern Ave NE se/b,800881
11,60,SPEED SAFETY CAMERA,1900 blk Branch Ave SE s/b,814299
12,6,STOP SIGN SAFETY CAMERA,27th St n/b @ R St SE,903631
