report_number,driver_at_fault,speed_limit,vehicle_year
MCP3239001B,Yes,15,2006
MCP3290000G,Yes,40,2006
MCP3283000M,Yes,30,2018
MCP2892009B,No,35,2013
MCP2892009B,Yes,35,0
MCP2899004S,Yes,55,2015
MCP2864003Y,Yes,40,2006
MCP2864003Y,No,40,2021
EJ7876003B,No,35,2011
EJ7876003B,Yes,35,2016
EJ7884001V,Yes,25,2015
MCP2617009B,Yes,35,2000
MCP2617009B,No,35,2013
MCP2617009B,No,35,2016
MCP2877008R,Yes,25,2016
MCP2877008R,No,35,2015
MCP3048006W,No,35,2006
MCP3048006W,Yes,35,2007
MCP32390019,Yes,30,2018
MCP32390019,No,40,2013
MCP30580042,No,35,2020
MCP30580042,Yes,35,2005
MCP31170037,Yes,35,0
MCP31170037,No,35,2015
DD5540000V,Yes,15,2005
DD5540000V,No,15,2019
EJ78760039,Yes,35,2017
EJ78760039,No,30,2015
DD5624004Q,Unknown,35,1996
DD5624004Q,Unknown,35,2016
EJ78800012,Yes,35,2012
MCP3055002S,Yes,35,1995
MCP3055002S,No,35,2017
MCP115100CG,Yes,0,2014
MCP3228001H,Yes,35,2020
MCP3228001H,No,35,2020
MCP29540091,Yes,35,2017
MCP29540091,No,35,2009
MCP24750060,Yes,40,2005
MCP24750060,Yes,40,2010
MCP3207001M,No,35,2012
MCP3207001M,Yes,35,2020
MCP3130003F,Yes,45,2010
MCP3130003F,No,45,2020
DD56440011,Yes,25,2000
MCP242500GV,No,25,2013
MCP242500GV,No,25,2015
MCP2946003N,Yes,50,2019
MCP2946003N,No,50,2015
MCP2859009Y,Yes,30,2016
MCP2859009Y,No,30,2017
MCP1382005R,No,40,2014
MCP1382005R,No,40,2004
MCP1382005R,Yes,40,2018
MCP3192001V,Yes,25,2011
EJ7871004K,Yes,20,2011
EJ7889000R,No,40,2012
EJ7889000R,No,40,2008
EJ7889000R,Yes,40,2006
EJ7889000R,No,40,2002
MCP3277000S,Yes,35,2011
MCP3277000S,No,35,2010
MCP3277000S,No,35,2013
MCP31950025,Yes,40,2014
MCP31950025,No,40,2012
MCP31950025,No,40,2018
MCP3218001L,No,40,2004
MCP3218001L,Yes,40,2013
MCP2875004K,No,35,2015
MCP2875004K,Yes,35,2013
DD56420020,Yes,35,2009
DD56420020,No,35,2007
EJ78560097,Yes,15,2009
MCP3267000P,Yes,35,2021
MCP3267000P,No,35,2008
MCP30160030,Yes,25,2018
MCP2445002G,Yes,40,2017
MCP2445002G,No,40,2000
MCP1202004V,Yes,35,2007
MCP3190002B,No,40,2021
MCP2973005K,Yes,25,2016
MCP1160000G,Yes,30,2014
MCP1160000G,No,35,0
MCP31900029,Yes,40,2015
MCP3246000X,Yes,25,2013
MCP2536003B,No,35,2007
MCP2536003B,Yes,35,2018
MCP2975003R,Yes,5,2014
MCP2395001T,Yes,40,2010
MCP3191002F,No,35,2013
MCP3191002F,Yes,35,2016
MCP3196001W,Yes,30,2016
MCP3196001W,No,30,2007
MCP2723005J,Yes,25,2021
EJ7871004J,No,25,2013
EJ7871004J,Yes,25,2009
MCP27190041,No,25,2013
MCP27190041,Yes,5,2015
MCP3125002S,Yes,45,2000
MCP3247000W,No,25,2014
MCP3247000W,Yes,25,2015
MCP31930028,No,25,2020
MCP31930028,No,25,2011
MCP31930028,Yes,25,2012
MCP31930028,No,25,2016
MCP3165002P,No,40,2007
MCP3165002P,Yes,40,2013
EJ7885000V,No,35,2021
EJ7885000V,Yes,35,2012
DD5643001F,Yes,35,2010
DD5643001F,No,35,2014
MCP23510044,Yes,35,2017
MCP23510044,No,35,2014
MCP3200002J,No,35,2020
MCP3200002J,Yes,35,2007
MCP28320068,No,30,2013
MCP28320068,Yes,30,2019
MCP2968003N,Yes,25,2002
MCP16040022,No,35,2019
MCP16040022,Yes,35,2018
MCP2290002S,No,35,2015
MCP2290002S,Yes,35,2006
MCP2182002M,Yes,5,2003
MCP32200018,No,35,2007
MCP32200018,Yes,35,2002
MCP28920099,Yes,5,2012
MCP3253000X,Yes,35,2008
MCP32140014,Yes,25,2021
MCP3246000V,Yes,45,2002
MCP3246000V,No,45,1998
EJ7889000N,No,40,2016
MCP32140013,Yes,40,2007
MCP32140013,No,40,2014
MCP2686004T,Yes,35,2014
MCP2686004T,No,35,2010
MCP2674002B,Yes,40,2010
MCP2674002B,No,40,2011
MCP3022003T,Yes,40,2015
MCP3022003T,No,50,2000
MCP3022003T,No,50,2017
MCP29920036,Yes,25,2016
MCP29920036,No,25,1993
MCP2906002Z,No,35,2013
MCP2906002Z,Yes,40,0
MCP2722003W,Yes,25,2020
MCP2722003W,No,25,2020
MCP25260021,Yes,5,0
DD5635003J,No,35,2005
DD5635003J,Yes,35,2010
MCP284800B3,Yes,20,2014
MCP2710003F,Yes,45,0
MCP2710003F,No,45,2017
MCP3282000K,No,30,2012
MCP3282000K,Yes,15,2015
MCP3215001P,No,25,2016
MCP3215001P,Yes,25,2014
MCP3122003Z,Yes,15,2016
DD56510003,Yes,25,2013
DD56510003,No,25,2009
MCP204600CL,Yes,25,2012
MCP93790034,Yes,35,2017
MCP93790034,No,35,2001
MCP2039006G,Yes,25,2011
MCP2039006G,No,25,2018
MCP106400BP,Yes,25,2018
MCP106400BP,No,25,2017
MCP102200FP,No,30,2020
MCP102200FP,Yes,30,2018
EJ7886000K,Yes,15,2011
MCP2974003M,Yes,45,2003
MCP2917007M,Yes,40,2008
MCP2917007M,No,40,1986
MCP32270026,No,30,2008
MCP32270026,Yes,30,2004
MCP2974003L,Yes,45,2013
MCP2974003L,No,45,2020
MCP3170001W,No,45,2009
MCP3170001W,Yes,45,2015
MCP3170001W,Yes,45,2016
MCP21980098,No,35,2014
MCP21980098,Yes,35,2015
MCP3276000X,Yes,25,2006
MCP3276000X,No,25,2007
MCP29310053,No,40,2015
MCP29310053,No,40,2020
MCP29310053,Yes,40,2005
MCP26170099,No,35,2003
MCP26170099,Yes,35,2014
MCP3280000M,Yes,25,2003
MCP3268000V,No,30,2020
MCP3268000V,Yes,30,2003
MCP284800B2,No,35,2006
MCP284800B2,Yes,35,2020
HA24490015,Yes,30,1999
HA24490015,No,30,2017
EJ7888000H,No,15,2012
EJ7888000H,Yes,15,2017
MCP106400BN,No,30,2020
MCP106400BN,Yes,30,2017
MCP3130003D,Yes,45,2018
MCP3130003D,No,45,2014
MCP28950024,No,45,2000
MCP28950024,Yes,30,2011
MCP137800X2,Yes,45,2012
MCP137800X2,No,45,2010
MCP137800X2,No,45,2008
MCP2552003Z,No,30,2017
MCP2552003Z,Yes,30,2017
MCP30580041,No,40,2007
MCP3233001G,No,35,2018
MCP3233001G,Yes,35,2013
MCP30580041,Yes,40,2016
EJ7878002L,No,35,2013
EJ7878002L,Yes,35,2007
MCP2583001J,Yes,25,2018
MCP2726005J,Yes,15,2017
MCP3218001K,No,40,2012
MCP3218001K,Yes,40,2001
MCP2765005Q,No,40,2012
MCP2765005Q,Yes,40,2005
MCP2765005Q,No,40,2014
MCP30390059,No,35,2014
MCP30390059,Yes,35,2014
MCP31540022,Yes,35,2020
MCP31540022,No,40,2021
MCP137800X1,No,35,2009
MCP137800X1,Yes,35,2009
DD56280044,Yes,35,2014
MCP1309003S,Yes,45,2001
MCP1309003S,No,45,2018
MCP284800B1,Yes,25,2008
MCP284800B1,No,25,2008
DD5638002L,Yes,40,2008
DD5638002L,No,40,2002
EJ7870003L,Yes,25,2009
EJ7870003L,No,25,2017
MCP1174004V,Yes,25,2018
